year,scenario,scenario_label,nuts3,slr_m,flood_area_km2,flooded_pixels,gdp_at_risk_bn,buildings_count,buildings_value_bn,storeys
2030,ssp245,SSP2-4.5 (Intermediate),Região de Coimbra,0.1,3.540449922,4780,0.007344135,283.2,0.140839099,2.5
2030,ssp245,SSP2-4.5 (Intermediate),Região de Leiria,0.1,0.0007406799,1,1.944e-06,0.1,2.9464e-05,2.0
2030,ssp245,SSP2-4.5 (Intermediate),Terras de Trás-os-Montes,0.1,0.0,0,0.0,0.0,0.0,2.0
2030,ssp245,SSP2-4.5 (Intermediate),Tâmega e Sousa,0.1,0.0,0,0.0,0.0,0.0,2.0
2030,ssp245,SSP2-4.5 (Intermediate),Viseu Dão Lafões,0.1,0.0,0,0.0,0.0,0.0,2.0
2030,ssp245,SSP2-4.5 (Intermediate),Área Metropolitana do Porto,0.1,0.0214797171,29,0.000406203,10.7,0.008544632,4.0
2040,ssp245,SSP2-4.5 (Intermediate),Alentejo Central,0.2,0.0,0,0.0,0.0,0.0,2.0
2040,ssp245,SSP2-4.5 (Intermediate),Alentejo Litoral,0.2,5.3721513147,7253,0.003220558,161.2,0.048083441,1.5
2040,ssp245,SSP2-4.5 (Intermediate),Algarve,0.2,4.2796484622,5778,0.010529665,855.9,0.510733251,3.0
2040,ssp245,SSP2-4.5 (Intermediate),Alto Alentejo,0.2,0.0,0,0.0,0.0,0.0,2.0
2040,ssp245,SSP2-4.5 (Intermediate),Alto Minho,0.2,0.1236935433,167,0.000222303,7.4,0.002214238,1.5
2040,ssp245,SSP2-4.5 (Intermediate),Alto Tâmega e Barroso,0.2,0.0,0,0.0,0.0,0.0,2.0
2040,ssp245,SSP2-4.5 (Intermediate),Ave,0.2,0.0,0,0.0,0.0,0.0,2.0
