feature,feature_label,sub_type,type_label,elev,length_km,value_eur,value_m_eur,mid_lat,mid_lon,start_lat,start_lon,end_lat,end_lon
road,Road,residential,Residential,1.0477051734924316,0.0954,10972.985472803872,0.01,37.138603,-8.016321,37.138464,-8.016428,37.139292,-8.016269
road,Road,unclassified,Unclassified,0.2782700955867767,1.2182,140092.28475722304,0.14,40.69472,-8.632159,40.694918,-8.624912,40.694244,-8.639304
road,Road,unclassified,Unclassified,0.6191393136978149,0.1228,14124.220815347033,0.01,37.176095,-7.91076,37.175958,-7.909529,37.176074,-7.9109
road,Road,unclassified,Unclassified,1.0085091590881348,0.4184,48117.55310119835,0.05,38.030838,-8.015676,38.033009,-8.017788,38.030256,-8.015228
road,Road,unclassified,Unclassified,0.1324254274368286,0.1836,21110.16376055615,0.02,38.065416,-8.768534,38.065469,-8.769314,38.066114,-8.767866
road,Road,unclassified,Unclassified,0.5350306630134583,1.1135,128051.70469455337,0.13,40.74495,-8.677934,40.739682,-8.676088,40.748937,-8.675813
road,Road,unclassified,Unclassified,0.6856635212898254,0.149,17130.52192509655,0.02,37.094194,-7.938436,37.094932,-7.938226,37.09362,-7.938572
road,Road,residential,Residential,1.0477051734924316,0.0179,2059.215519224743,0.0,37.951615,-8.874354,37.951541,-8.874358,37.95169,-8.874404
road,Road,tertiary,Tertiary,0.841501772403717,0.0496,9920.229017897298,0.01,37.209531,-8.518251,37.209803,-8.518047,37.209407,-8.518298
road,Road,unclassified,Unclassified,0.5456655621528625,0.3269,37590.96359042138,0.04,37.481468,-8.275125,37.480227,-8.276193,37.482417,-8.274149
road,Road,residential,Residential,0.5041947364807129,0.2346,26976.614463827023,0.03,37.21523,-8.370325,37.215552,-8.368524,37.214817,-8.370408
road,Road,unclassified,Unclassified,0.9130576848983764,1.1619,133623.33237342042,0.13,40.143363,-8.851138,40.139864,-8.847883,40.14497,-8.856717
road,Road,unclassified,Unclassified,0.4249539673328399,1.7072,196331.29212661777,0.2,40.132289,-8.843243,40.1363,-8.848189,40.126391,-8.840626
road,Road,unclassified,Unclassified,0.4543392956256866,0.953,109597.89442313631,0.11,40.131658,-8.838458,40.133421,-8.842128,40.129557,-8.841237
road,Road,tertiary,Tertiary,1.037711262702942,1.7645,352894.46582794725,0.35,40.123092,-8.748697,40.131415,-8.745729,40.119801,-8.75489
road,Road,unclassified,Unclassified,0.2323748469352722,1.2716,146235.91865774477,0.15,40.11445,-8.770164,40.118788,-8.763165,40.112418,-8.775234
road,Road,unclassified,Unclassified,0.2315964102745056,2.233,256792.9498022934,0.26,40.111278,-8.79079,40.109639,-8.780817,40.12126,-8.799106
road,Road,secondary,Secondary,0.0573538206517696,3.1343,1567144.2437755065,1.57,40.107496,-8.754696,40.093429,-8.750959,40.116244,-8.758168
road,Road,tertiary,Tertiary,0.2947318255901336,0.0239,4777.979410288122,0.0,38.039012,-8.242063,38.039228,-8.242069,38.039012,-8.242063
