section,lat,lon,elev_m,flood_zone
B — Vila Franca de Xira → Azambuja (~28 km),39.015735,-8.933723,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.015406,-8.934118,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.015077,-8.934512,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.014748,-8.934906,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.014419,-8.935301,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.01409,-8.935695,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.013761,-8.936089,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.013432,-8.936484,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.013102,-8.936878,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.012773,-8.937273,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.012444,-8.937667,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.012115,-8.938061,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.011786,-8.938456,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.011457,-8.93885,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.011128,-8.939244,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.010799,-8.939639,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.010469,-8.940033,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.01014,-8.940428,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.009811,-8.940822,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.012173,-8.939126,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.012498,-8.938726,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.012823,-8.938326,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.013148,-8.937925,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.013473,-8.937525,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.013797,-8.937125,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.014122,-8.936725,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.014447,-8.936325,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.014772,-8.935925,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.015097,-8.935524,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.015422,-8.935124,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.015747,-8.934724,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.016072,-8.934324,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.016397,-8.933924,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.016722,-8.933524,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.017046,-8.933123,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.017371,-8.932723,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.017696,-8.932323,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.018021,-8.931923,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.018346,-8.931523,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.018671,-8.931123,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.018996,-8.930722,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.019321,-8.930322,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.019646,-8.929922,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.01997,-8.929522,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.020295,-8.929122,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.02062,-8.928722,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.020945,-8.928321,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.02127,-8.927921,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.021595,-8.927521,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.02192,-8.927121,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.022245,-8.926721,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.02257,-8.926321,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.022895,-8.92592,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.023219,-8.92552,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.023544,-8.92512,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.023869,-8.92472,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.024194,-8.92432,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.024519,-8.92392,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.024844,-8.923519,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.025169,-8.923119,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
B — Vila Franca de Xira → Azambuja (~28 km),39.025494,-8.922719,0.0,"Castanheira / Azambuja (events: 2022, 2026)"
