point_index,lat,lon,elevation_m,below_threshold
154,40.701781,-8.591275,5.13,False
155,40.700921,-8.591622,5.56,False
156,40.700061,-8.59197,4.614,False
157,40.699201,-8.592317,3.997,False
158,40.698341,-8.592664,3.121,False
159,40.697481,-8.593012,1.642,True
160,40.696621,-8.593359,2.644,True
161,40.695761,-8.593706,4.646,False
162,40.694901,-8.594054,6.127,False
163,40.694041,-8.594401,7.116,False
164,40.693181,-8.594748,3.868,False
165,40.692321,-8.595096,1.513,True
166,40.691462,-8.595443,2.88,True
167,40.690602,-8.59579,2.075,True
168,40.689742,-8.596138,3.366,False
169,40.688882,-8.596485,4.641,False
170,40.688022,-8.596832,6.341,False
171,40.687162,-8.597179,9.083,False
172,40.686302,-8.597527,11.285,False
173,40.685442,-8.597874,12.932,False
174,40.684646,-8.598344,13.695,False
175,40.684088,-8.599274,14.31,False
176,40.684078,-8.599301,14.386,False
177,40.684632,-8.598368,13.681,False
178,40.68519,-8.597437,12.614,False
179,40.685787,-8.596565,9.592,False
180,40.686543,-8.595923,9.039,False
181,40.6873,-8.595281,8.343,False
182,40.688056,-8.594639,8.797,False
183,40.688812,-8.593997,6.605,False
184,40.689568,-8.593355,4.731,False
