section,section_type,scenario,year,variant,slr_m,return_period_yr,events_per_year,days_per_event,closure_days_yr
Mondego Valley (km 240–244),railway,SSP2-4.5,2054,Baseline,0.324,0.42,2.362,8.2,19.5
Mondego Valley (km 240–244),railway,SSP2-4.5,2054,+Geoid,0.474,0.15,6.681,9.7,65.1
Mondego Valley (km 240–244),railway,SSP2-4.5,2055,Baseline,0.33,0.41,2.462,8.3,20.4
Mondego Valley (km 240–244),railway,SSP2-4.5,2055,+Geoid,0.48,0.14,6.964,9.8,68.3
Mondego Valley (km 240–244),railway,SSP2-4.5,2056,Baseline,0.336,0.39,2.567,8.4,21.5
Mondego Valley (km 240–244),railway,SSP2-4.5,2056,+Geoid,0.486,0.14,7.26,9.9,71.6
Mondego Valley (km 240–244),railway,SSP2-4.5,2057,Baseline,0.342,0.37,2.676,8.4,22.5
Mondego Valley (km 240–244),railway,SSP2-4.5,2057,+Geoid,0.492,0.13,7.568,9.9,75.1
Mondego Valley (km 240–244),railway,SSP2-4.5,2058,Baseline,0.348,0.36,2.789,8.5,23.7
Mondego Valley (km 240–244),railway,SSP2-4.5,2058,+Geoid,0.498,0.13,7.89,10.0,78.7
Mondego Valley (km 240–244),railway,SSP2-4.5,2059,Baseline,0.354,0.34,2.908,8.5,24.8
Mondego Valley (km 240–244),railway,SSP2-4.5,2059,+Geoid,0.504,0.12,8.225,10.0,82.6
Mondego Valley (km 240–244),railway,SSP2-4.5,2060,Baseline,0.36,0.33,3.031,8.6,26.1
Mondego Valley (km 240–244),railway,SSP2-4.5,2060,+Geoid,0.51,0.12,8.574,10.1,86.6
Mondego Valley (km 240–244),railway,SSP2-4.5,2061,Baseline,0.366,0.32,3.16,8.7,27.4
Mondego Valley (km 240–244),railway,SSP2-4.5,2061,+Geoid,0.516,0.11,8.938,10.2,90.8
Mondego Valley (km 240–244),railway,SSP2-4.5,2062,Baseline,0.372,0.3,3.294,8.7,28.7
Mondego Valley (km 240–244),railway,SSP2-4.5,2062,+Geoid,0.522,0.11,9.318,10.2,95.2
Mondego Valley (km 240–244),railway,SSP2-4.5,2063,Baseline,0.378,0.29,3.434,8.8,30.2
Mondego Valley (km 240–244),railway,SSP2-4.5,2063,+Geoid,0.528,0.1,9.714,10.3,99.9
Mondego Valley (km 240–244),railway,SSP2-4.5,2064,Baseline,0.384,0.28,3.58,8.8,31.6
Mondego Valley (km 240–244),railway,SSP2-4.5,2064,+Geoid,0.534,0.1,10.126,10.3,104.7
Mondego Valley (km 240–244),railway,SSP2-4.5,2065,Baseline,0.39,0.27,3.732,8.9,33.2
Mondego Valley (km 240–244),railway,SSP2-4.5,2065,+Geoid,0.54,0.09,10.556,10.4,109.8
Mondego Valley (km 240–244),railway,SSP2-4.5,2066,Baseline,0.396,0.26,3.891,9.0,34.9
Mondego Valley (km 240–244),railway,SSP2-4.5,2066,+Geoid,0.546,0.09,11.004,10.5,115.1
Mondego Valley (km 240–244),railway,SSP2-4.5,2067,Baseline,0.402,0.25,4.056,9.0,36.6
Mondego Valley (km 240–244),railway,SSP2-4.5,2067,+Geoid,0.552,0.09,11.472,10.5,120.7
Mondego Valley (km 240–244),railway,SSP2-4.5,2068,Baseline,0.408,0.24,4.228,9.1,38.4
Mondego Valley (km 240–244),railway,SSP2-4.5,2068,+Geoid,0.558,0.08,11.959,10.6,126.5
Mondego Valley (km 240–244),railway,SSP2-4.5,2069,Baseline,0.414,0.23,4.408,9.1,40.3
Mondego Valley (km 240–244),railway,SSP2-4.5,2069,+Geoid,0.564,0.08,12.467,10.6,132.6
Mondego Valley (km 240–244),railway,SSP2-4.5,2070,Baseline,0.42,0.22,4.595,9.2,42.3
Mondego Valley (km 240–244),railway,SSP2-4.5,2070,+Geoid,0.57,0.08,12.996,10.7,139.1
Mondego Valley (km 240–244),railway,SSP2-4.5,2071,Baseline,0.426,0.21,4.79,9.3,44.4
Mondego Valley (km 240–244),railway,SSP2-4.5,2071,+Geoid,0.576,0.07,13.548,10.8,145.8
Mondego Valley (km 240–244),railway,SSP2-4.5,2072,Baseline,0.432,0.2,4.993,9.3,46.5
Mondego Valley (km 240–244),railway,SSP2-4.5,2072,+Geoid,0.582,0.07,14.123,10.8,152.8
Mondego Valley (km 240–244),railway,SSP2-4.5,2073,Baseline,0.438,0.19,5.205,9.4,48.8
Mondego Valley (km 240–244),railway,SSP2-4.5,2073,+Geoid,0.588,0.07,14.723,10.9,160.2
Mondego Valley (km 240–244),railway,SSP2-4.5,2074,Baseline,0.444,0.18,5.426,9.4,51.2
